ISIN,name,ticker,fund_size,expense,replication,structure,strategy,currency,currency_risk,vol_1_year,inception,distribution_policy,distribution_frequency,domicile,provider,YTD,1m_return,3m_return,6m_return,1y_return,3y_return,5y_return,max_return,2022_return,2021_return,2020_return,2019_return,vol_1y,vol_3y,vol_5y,sharpe_1y,sharpe_3y,sharpe_5y,maxdrawdown_1y,maxdrawdown_3y,maxdrawdown_5y,maxdrawdown,description
FR0011882364,Amundi PEA Eau (MSCI Water) UCITS ETF Capi,AWAT,  GBP 65 m   , 0.60% p.a. , Synthetic (Unfunded swap) ,ETF,Long-only,EUR,Currency unhedged, 16.63% ,13 May 2014,Accumulating,-,France,Amundi ETF,+4.29%,-5.57%,-2.60%,-0.97%,-2.20%,+27.28%,+51.13%,+162.53%,-12.62%,+24.14%,+14.21%,+31.58%,16.63%,15.13%,17.87%,-0.13,0.55,0.48,-12.17%,-23.61%,-29.18%,-29.18%, The Amundi PEA Eau (MSCI Water) UCITS ETF Capi seeks to track the MSCI ACWI IMI Water Custom index. The MSCI ACWI IMI Water Custom index tracks the global water industry.      The ETF's TER (total expense ratio) amounts to 0.60% p.a..   The ETF replicates the performance of the underlying index synthetically with a swap.    The dividends in the ETF  are accumulated and reinvested in the ETF.            The Amundi PEA Eau (MSCI Water) UCITS ETF Capi is a small ETF with 65m GBP assets under management.    The ETF was launched on 13 May 2014  and is domiciled in France.  
FR0007052782,Lyxor CAC 40 (DR) UCITS ETF - Dist,CACX,"  GBP 2,499 m   ", 0.25% p.a. , Physical (Full replication) ,ETF,Long-only,EUR,Currency unhedged, 20.53% ,13 December 2000,Distributing,Semi annually,France,Amundi ETF,+10.37%,-4.25%,-4.22%,-1.39%,+26.87%,+51.89%,+44.43%,+218.09%,-1.74%,+22.98%,+0.29%,+23.81%,20.53%,19.93%,21.13%,1.31,0.75,0.36,-8.22%,-19.80%,-33.29%,-54.95%," The Lyxor CAC 40 (DR) UCITS ETF - Dist seeks to track the CAC 40® index. The CAC 40® index tracks the largest and most traded French stocks listed on Euronext in Paris.      The ETF's TER (total expense ratio) amounts to 0.25% p.a..  The Lyxor CAC 40 (DR) UCITS ETF - Dist is the only ETF that tracks the CAC 40® index.   The ETF replicates the performance of the underlying index by full replication (buying all the index constituents).    The dividends in the ETF  are distributed to the investors (Semi annually).            The Lyxor CAC 40 (DR) UCITS ETF - Dist is a very large ETF with 2,499m GBP assets under management.    The ETF was launched on 13 December 2000  and is domiciled in France.  "
FR0013412038,Amundi ETF PEA MSCI Europe UCITS ETF,PCEU,  GBP 85 m   , 0.15% p.a. , Synthetic (Unfunded swap) ,ETF,Long-only,EUR,Currency unhedged, 14.45% ,15 May 2019,Accumulating,-,France,Amundi ETF,+4.46%,-4.68%,-5.25%,-3.68%,+6.38%,+28.34%,-,+27.30%,-4.31%,+17.00%,+2.17%,-,14.45%,15.57%,-,0.44,0.56,-,-8.99%,-16.00%,-,-28.59%, The Amundi ETF PEA MSCI Europe UCITS ETF seeks to track the MSCI Europe index. The MSCI Europe index tracks the leading stocks from 15 European industrial countries.      The ETF's TER (total expense ratio) amounts to 0.15% p.a..   The ETF replicates the performance of the underlying index synthetically with a swap.    The dividends in the ETF  are accumulated and reinvested in the ETF.            The Amundi ETF PEA MSCI Europe UCITS ETF is a small ETF with 85m GBP assets under management.    The ETF was launched on 15 May 2019  and is domiciled in France.  
FR0011550193,BNP Paribas Easy STOXX Europe 600 UCITS ETF,ETZ,  GBP 636 m   , 0.20% p.a. , Synthetic (Unfunded swap) ,ETF,Long-only,EUR,Currency unhedged, 14.62% ,16 September 2013,Accumulating,-,France,BNP Paribas Easy,+5.00%,-4.07%,-4.62%,-2.81%,+8.48%,+27.66%,+28.63%,+92.95%,-5.48%,+17.08%,+4.00%,+21.30%,14.62%,15.79%,17.57%,0.58,0.54,0.29,-9.19%,-16.97%,-28.53%,-28.53%, The BNP Paribas Easy STOXX Europe 600 UCITS ETF seeks to track the STOXX® Europe 600 index. The STOXX® Europe 600 index tracks the 600 largest European companies.      The ETF's TER (total expense ratio) amounts to 0.20% p.a..   The ETF replicates the performance of the underlying index synthetically with a swap.    The dividends in the ETF  are accumulated and reinvested in the ETF.            The BNP Paribas Easy STOXX Europe 600 UCITS ETF is a large ETF with 636m GBP assets under management.    The ETF was launched on 16 September 2013  and is domiciled in France.  
LU1681038672,Amundi Russell 2000 UCITS ETF EUR (C),RS2K,  GBP 135 m   , 0.35% p.a. , Synthetic (Unfunded swap) ,ETF,Long-only,EUR,Currency unhedged, 23.05% ,22 March 2018,Accumulating,-,Luxembourg,Amundi ETF,+0.41%,-4.53%,+1.72%,-6.34%,-9.23%,+26.62%,+14.50%,+125.85%,-10.86%,+14.95%,+15.85%,+21.09%,23.05%,23.80%,27.12%,-0.40,0.34,0.10,-16.41%,-25.08%,-36.54%,-36.54%, The Amundi Russell 2000 UCITS ETF EUR (C) seeks to track the Russell 2000® index. The Russell 2000® index tracks 2000 companies from the US small cap stocks.      The ETF's TER (total expense ratio) amounts to 0.35% p.a..   The ETF replicates the performance of the underlying index synthetically with a swap.    The dividends in the ETF  are accumulated and reinvested in the ETF.            The Amundi Russell 2000 UCITS ETF EUR (C) has 135m GBP assets under management.    The ETF was launched on 22 March 2018  and is domiciled in Luxembourg.  
FR0011869304,Lyxor PEA Immobilier Europe (FTSE EPRA/NAREIT) UCITS ETF - Acc,PMEH,  GBP 13 m   , 0.40% p.a. , Synthetic (Unfunded swap) ,ETF,Long-only,EUR,Currency unhedged, 27.64% ,13 May 2014,Accumulating,-,France,Amundi ETF,-11.22%,-9.70%,-4.94%,-16.96%,-24.37%,-28.94%,-33.67%,+4.05%,-33.57%,+9.95%,-5.77%,+22.22%,27.64%,22.43%,21.58%,-0.88,-0.48,-0.37,-26.61%,-45.16%,-45.16%,-45.16%, The Lyxor PEA Immobilier Europe (FTSE EPRA/NAREIT) UCITS ETF - Acc seeks to track the FTSE EPRA/NAREIT Developed Europe index. The FTSE EPRA/NAREIT Developed Europe index tracks European listed equity REITS and property companies and offers a diverse representation of the real estate market in developed countries in Europe by both geography and property type.      The ETF's TER (total expense ratio) amounts to 0.40% p.a..   The ETF replicates the performance of the underlying index synthetically with a swap.    The dividends in the ETF  are accumulated and reinvested in the ETF.            The Lyxor PEA Immobilier Europe (FTSE EPRA/NAREIT) UCITS ETF - Acc is a very small ETF with 13m GBP assets under management.    The ETF was launched on 13 May 2014  and is domiciled in France.  
LU1834986900,Lyxor STOXX Europe 600 Healthcare UCITS ETF - Acc,HLT,  GBP 568 m   , 0.30% p.a. , Synthetic (Unfunded swap) ,ETF,Long-only,EUR,Currency unhedged, 14.50% ,18 August 2006,Accumulating,-,Luxembourg,Amundi ETF,+5.12%,-0.81%,-4.19%,+2.83%,+6.92%,+20.04%,+45.77%,+332.78%,-1.07%,+17.22%,+4.04%,+24.76%,14.50%,15.41%,16.38%,0.48,0.41,0.48,-11.57%,-14.47%,-19.04%,-22.36%, The Lyxor STOXX Europe 600 Healthcare UCITS ETF - Acc seeks to track the STOXX® Europe 600 Health Care index. The STOXX® Europe 600 Health Care index tracks the European health care sector.      The ETF's TER (total expense ratio) amounts to 0.30% p.a..   The ETF replicates the performance of the underlying index synthetically with a swap.    The dividends in the ETF  are accumulated and reinvested in the ETF.            The Lyxor STOXX Europe 600 Healthcare UCITS ETF - Acc is a large ETF with 568m GBP assets under management.    The ETF was launched on 18 August 2006  and is domiciled in Luxembourg.  
FR0010342592,Lyxor Nasdaq 100 Daily (2x) Leveraged UCITS ETF - Acc,LQQ,  GBP 372 m   , 0.60% p.a. , Synthetic (Unfunded swap) ,ETF,Leverage,EUR,Currency unhedged, 47.03% ,27 June 2006,Accumulating,-,France,Amundi ETF,+67.99%,-5.54%,+12.05%,+40.77%,+12.88%,+37.14%,+169.62%,"+5,541.97%",-55.34%,+56.14%,+83.89%,+76.64%,47.03%,48.80%,51.85%,0.27,0.23,0.42,-38.11%,-59.19%,-59.19%,-69.37%, The Lyxor Nasdaq 100 Daily (2x) Leveraged UCITS ETF - Acc seeks to track the Nasdaq 100® Leverage (2x) index. The Nasdaq 100® Leverage (2x) index tracks the two times leveraged performance of Nasdaq 100® on a daily basis. The Nasdaq 100® index tracks a selection of 100 stocks chosen from among non-financial stocks listed on the NASDAQ stock exchange.      The ETF's TER (total expense ratio) amounts to 0.60% p.a..   The ETF replicates the performance of the underlying index synthetically with a swap.    The dividends in the ETF  are accumulated and reinvested in the ETF.            The Lyxor Nasdaq 100 Daily (2x) Leveraged UCITS ETF - Acc has 372m GBP assets under management.    The ETF was launched on 27 June 2006  and is domiciled in France.  
LU1834988518,Lyxor STOXX Europe 600 Technology UCITS ETF - Acc,TNO,  GBP 101 m   , 0.30% p.a. , Synthetic (Unfunded swap) ,ETF,Long-only,EUR,Currency unhedged, 26.08% ,18 August 2006,Accumulating,-,Luxembourg,Amundi ETF,+15.45%,-3.79%,-4.18%,+1.49%,+17.21%,+16.48%,+43.25%,+270.46%,-23.93%,+25.47%,+20.99%,+29.78%,26.08%,26.30%,25.80%,0.66,0.20,0.29,-14.11%,-38.31%,-38.31%,-52.52%, The Lyxor STOXX Europe 600 Technology UCITS ETF - Acc seeks to track the STOXX® Europe 600 Technology index. The STOXX® Europe 600 Technology index tracks the European technology sector.      The ETF's TER (total expense ratio) amounts to 0.30% p.a..   The ETF replicates the performance of the underlying index synthetically with a swap.    The dividends in the ETF  are accumulated and reinvested in the ETF.            The Lyxor STOXX Europe 600 Technology UCITS ETF - Acc has 101m GBP assets under management.    The ETF was launched on 18 August 2006  and is domiciled in Luxembourg.  
FR0013411980,Amundi ETF PEA Japan Topix UCITS ETF,PTPXE,  GBP 29 m   , 0.20% p.a. , Synthetic (Unfunded swap) ,ETF,Long-only,EUR,Currency unhedged, 16.76% ,15 May 2019,Accumulating,-,France,Amundi ETF,+2.01%,-3.45%,-4.25%,-0.35%,-0.20%,+9.98%,-,+14.75%,-4.84%,+0.99%,+8.93%,-,16.76%,16.48%,-,-0.01,0.20,-,-9.13%,-20.37%,-,-22.43%, The Amundi ETF PEA Japan Topix UCITS ETF seeks to track the TOPIX® index. The TOPIX® index tracks a broad selection of Japanese stocks listed on the TSE First Section segment of Tokyo Stock Exchange.      The ETF's TER (total expense ratio) amounts to 0.20% p.a..  The Amundi ETF PEA Japan Topix UCITS ETF is the cheapest ETF that tracks the TOPIX® index.   The ETF replicates the performance of the underlying index synthetically with a swap.    The dividends in the ETF  are accumulated and reinvested in the ETF.            The Amundi ETF PEA Japan Topix UCITS ETF is a small ETF with 29m GBP assets under management.    The ETF was launched on 15 May 2019  and is domiciled in France.  
FR0011440478,Lyxor PEA Emergents (MSCI Emerging Markets) UCITS ETF - Acc,PLEM,  GBP 23 m   , 0.55% p.a. , Synthetic (Unfunded swap) ,ETF,Long-only,EUR,Currency unhedged, 16.81% ,5 May 2014,Accumulating,-,France,Amundi ETF,-3.67%,-4.64%,-3.22%,-6.52%,-9.13%,-3.82%,+1.48%,+49.94%,-10.54%,-2.39%,+13.72%,+13.86%,16.81%,16.28%,17.04%,-0.54,-0.08,0.02,-13.85%,-27.23%,-27.23%,-30.80%, The Lyxor PEA Emergents (MSCI Emerging Markets) UCITS ETF - Acc seeks to track the MSCI Emerging Markets index. The MSCI Emerging Markets index tracks stocks from emerging markets worldwide.      The ETF's TER (total expense ratio) amounts to 0.55% p.a..   The ETF replicates the performance of the underlying index synthetically with a swap.    The dividends in the ETF  are accumulated and reinvested in the ETF.            The Lyxor PEA Emergents (MSCI Emerging Markets) UCITS ETF - Acc is a small ETF with 23m GBP assets under management.    The ETF was launched on 5 May 2014  and is domiciled in France.  
FR0010592014,Lyxor CAC 40 Daily (2x) Leveraged UCITS ETF - Acc,LVC,  GBP 186 m   , 0.40% p.a. , Synthetic (Unfunded swap) ,ETF,Leverage,EUR,Currency unhedged, 32.66% ,22 May 2008,Accumulating,-,France,Amundi ETF,+21.19%,-8.04%,-8.50%,-3.66%,+24.15%,+112.30%,+69.70%,+120.31%,-13.41%,+58.96%,-15.24%,+57.63%,32.66%,36.74%,40.63%,0.74,0.78,0.27,-19.81%,-36.00%,-60.92%,-74.79%, The Lyxor CAC 40 Daily (2x) Leveraged UCITS ETF - Acc seeks to track the CAC 40® Leverage (2x) index. The CAC 40® Leverage (2x) index tracks the two times leveraged performance of the CAC 40® index. The CAC 40® index tracks the 40 largest and most traded French stocks listed on Euronext in Paris.      The ETF's TER (total expense ratio) amounts to 0.40% p.a..   The ETF replicates the performance of the underlying index synthetically with a swap.    The dividends in the ETF  are accumulated and reinvested in the ETF.            The Lyxor CAC 40 Daily (2x) Leveraged UCITS ETF - Acc has 186m GBP assets under management.    The ETF was launched on 22 May 2008  and is domiciled in France.  
FR0013346681,Lyxor PEA Obligations d'État Euro UCITS ETF - Acc,OBLI,  GBP 16 m   , 0.40% p.a. , Synthetic (Unfunded swap) ,ETF,Long-only,EUR,Currency unhedged, 9.92% ,17 December 2018,Accumulating,-,France,Amundi ETF,-3.12%,-3.12%,-2.36%,-2.99%,-7.34%,-24.29%,-,-17.04%,-14.37%,-10.65%,+10.80%,+0.22%,9.92%,8.89%,-,-0.74,-1.00,-,-8.17%,-28.03%,-,-28.03%, The Lyxor PEA Obligations d'État Euro UCITS ETF - Acc seeks to track the MTS Mid Price InvG Ex-CNO Etrix All Maturity (EUR) index. The MTS Mid Price InvG Ex-CNO Etrix All Maturity (EUR) index tracks eurozone’s largest and most widely traded outstanding sovereign debt securities. Rating: Investment Grade.      The ETF's TER (total expense ratio) amounts to 0.40% p.a..   The ETF replicates the performance of the underlying index synthetically with a swap.     The interest income (coupons) in the ETF  is accumulated and reinvested in the ETF.           The Lyxor PEA Obligations d'État Euro UCITS ETF - Acc is a very small ETF with 16m GBP assets under management.    The ETF was launched on 17 December 2018  and is domiciled in France.  
FR0013380607,Lyxor CAC 40 (DR) UCITS ETF - Acc,CACC,  GBP 231 m   , 0.25% p.a. , Physical (Full replication) ,ETF,Long-only,EUR,Currency unhedged, 20.58% ,13 December 2018,Accumulating,-,France,Amundi ETF,+10.01%,-4.57%,-4.38%,-1.82%,+14.78%,+51.46%,-,+59.04%,-1.74%,+22.98%,+0.33%,+23.80%,20.58%,19.93%,-,0.72,0.74,-,-9.24%,-19.79%,-,-33.32%, The Lyxor CAC 40 (DR) UCITS ETF - Acc seeks to track the CAC 40® index. The CAC 40® index tracks the largest and most traded French stocks listed on Euronext in Paris.      The ETF's TER (total expense ratio) amounts to 0.25% p.a..  The Lyxor CAC 40 (DR) UCITS ETF - Acc is the only ETF that tracks the CAC 40® index.   The ETF replicates the performance of the underlying index by full replication (buying all the index constituents).    The dividends in the ETF  are accumulated and reinvested in the ETF.            The Lyxor CAC 40 (DR) UCITS ETF - Acc has 231m GBP assets under management.    The ETF was launched on 13 December 2018  and is domiciled in France.  
LU1812092168,Lyxor STOXX Europe Select Dividend 30 UCITS ETF - Dist,SEL,  GBP 136 m   , 0.30% p.a. , Synthetic (Unfunded swap) ,ETF,Long-only,EUR,Currency unhedged, 15.89% ,25 October 2006,Distributing,Semi annually,Luxembourg,Amundi ETF,-2.85%,-5.27%,-4.11%,-8.77%,+3.18%,+26.20%,+12.95%,+48.33%,-5.16%,+16.22%,-4.47%,+20.06%,15.89%,17.35%,20.43%,0.20,0.46,0.12,-12.90%,-19.29%,-34.29%,-60.91%, The Lyxor STOXX Europe Select Dividend 30 UCITS ETF - Dist seeks to track the STOXX® Europe Select Dividend 30 index. The STOXX® Europe Select Dividend 30 index tracks the 30 highest dividend-paying European stocks from the STOXX® Europe 600 Index.      The ETF's TER (total expense ratio) amounts to 0.30% p.a..   The ETF replicates the performance of the underlying index synthetically with a swap.    The dividends in the ETF  are distributed to the investors (Semi annually).            The Lyxor STOXX Europe Select Dividend 30 UCITS ETF - Dist has 136m GBP assets under management.    The ETF was launched on 25 October 2006  and is domiciled in Luxembourg.  
LU1681046931,Amundi CAC 40 UCITS ETF DR EUR (C),C40,  GBP 495 m   , 0.25% p.a. , Physical (Full replication) ,ETF,Long-only,EUR,Currency unhedged, 17.21% ,14 February 2018,Accumulating,-,Luxembourg,Amundi ETF,+12.46%,-4.60%,-4.35%,-0.70%,+18.87%,+51.21%,+43.63%,+513.27%,-4.03%,+23.01%,+0.21%,+23.82%,17.21%,18.90%,20.60%,1.10,0.78,0.36,-8.88%,-19.81%,-33.35%,-43.71%, The Amundi CAC 40 UCITS ETF DR EUR (C) seeks to track the CAC 40® index. The CAC 40® index tracks the largest and most traded French stocks listed on Euronext in Paris.      The ETF's TER (total expense ratio) amounts to 0.25% p.a..  The Amundi CAC 40 UCITS ETF DR EUR (C) is the only ETF that tracks the CAC 40® index.   The ETF replicates the performance of the underlying index by full replication (buying all the index constituents).    The dividends in the ETF  are accumulated and reinvested in the ETF.            The Amundi CAC 40 UCITS ETF DR EUR (C) is a large ETF with 495m GBP assets under management.    The ETF was launched on 14 February 2018  and is domiciled in Luxembourg.  
